zip,NCICCode,Year,County,allSum
93009,Ventura,2016,Ventura County,18310
93010,Camarillo,2016,Ventura County,5532
93011,Camarillo,2016,Ventura County,5532
93012,Camarillo,2016,Ventura County,5532
93015,Fillmore,2016,Ventura County,671
93016,Fillmore,2016,Ventura County,671
93020,Moorpark,2016,Ventura County,1528
93021,Moorpark,2016,Ventura County,1528
93023,Ojai,2016,Ventura County,332
93024,Ojai,2016,Ventura County,332
93030,Oxnard,2016,Ventura County,29504
93031,Oxnard,2016,Ventura County,29504
93032,Oxnard,2016,Ventura County,29504
93033,Oxnard,2016,Ventura County,29504
93034,Oxnard,2016,Ventura County,29504
93035,Oxnard,2016,Ventura County,29504
93036,Oxnard,2016,Ventura County,29504
93041,Port Hueneme,2016,Ventura County,1985
93044,Port Hueneme,2016,Ventura County,1985
93060,Santa Paula,2016,Ventura County,1933
93061,Santa Paula,2016,Ventura County,1933
93062,Simi Valley,2016,Ventura County,7746
93063,Simi Valley,2016,Ventura County,7746
93065,Simi Valley,2016,Ventura County,7746
93093,Simi Valley,2016,Ventura County,7746
93094,Simi Valley,2016,Ventura County,7746
93099,Simi Valley,2016,Ventura County,7746
93534,Lancaster,2016,Los Angeles County,21237
93535,Lancaster,2016,Los Angeles County,21237
93536,Lancaster,2016,Los Angeles County,21237
93539,Lancaster,2016,Los Angeles County,21237
93584,Lancaster,2016,Los Angeles County,21237
93586,Lancaster,2016,Los Angeles County,21237
93550,Palmdale,2016,Los Angeles County,15573
93551,Palmdale,2016,Los Angeles County,15573
93552,Palmdale,2016,Los Angeles County,15573
93590,Palmdale,2016,Los Angeles County,15573
93591,Palmdale,2016,Los Angeles County,15573
93599,Palmdale,2016,Los Angeles County,15573
